Mahadai Das,msdas,guyana,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
msdas,A Leaf in His Ear: Selected Poems,2010,English,Peepal Tree Press Ltd.,Leeds,England,leeds_england,Poetry Collection,n,128,
msdas,Bones,1988,English,Peepal Tree Press Ltd.,Leeds,England,leeds_england,Poetry Collection,n,64,
