Author,author_id,author_country
Georges Sylvain,gsylvain,haiti
Gérard Bulin,gbulin,france
Gina Picart,gpicart,cuba
Gisèle Pineau,gpineau,guadeloupe
Glynis Guevara,gguevara,trinidad_&_tobago
Gordon Rohlehr,grohlehr,guyana
Grace Nichols,gnichols,guyana
Gregory Thompson,gthompson,trinidad_&_tobago
Guillermo Rosales,grosales,cuba
Gus John,gjohn,grenada
Gwyneth Harold,gharold,jamaica
Harischandra Khemraj,hkhemraj,guyana
Harold Ramoutar,hramoutar,chile
Harold Sonny Ladoo,hsladoo,trinidad_&_tobago
Hayim Valdman,hvaldman,ukraine
Hazel Simmons-McDonald,hsmcdonald,st._lucia
Helen Klonaris,hklonaris,the_bahamas
Henry Hesketh Bell,hhbell,england
Herbert J. Reifer,hjreifer,barbados
Howard Pease,hpease,united_states
Hubert Nigel Thomas,hnthomas,st._vincent
Hubert Papailler,hpapailler,haiti
Hyam Yared,hyared,lebanon
Ibi Zoboi,izoboi,haiti
Ida Faubert,ifaubert,haiti
Ifeona Fulani,ifulani,jamaica
Ingrid Persaud,ipersaud,trinidad_&_tobago
Ira Lunan Ferguson,ilferguson,jamaica
Isabel Abellán Chuecos,iachuecos,spain
Ismith Khan,ikhan,trinidad_&_tobago
Ivory Kelly,ikelly,belize
J. Ashton Brathwaite,jabrathwaite,barbados
Jacob Ross,jross,grenada
Jacques Roumain,jroumain,haiti
Jacques Stephen Alexis,jsalexis,haiti
Jamaica Kincaid,jkincaid,antigua_&_barbuda
James Linen,jlinen,england
Jamsie,jamsie,ireland
Jan J Dominique,jjdominique,haiti
Janice Shinebourne,jshinebourne,guyana
Jean Bernabé,jbernabé,martinique
Jean Breeze,jbreeze,jamaica
Jean D'Costa,jdcosta,jamaica
Jean Dany Joachim,jdjoachim,haiti
Jean Goulbourne,jgoulbourne,jamaica
Jean Rhys,jrhys,dominica
Jean-Joseph Vilaire,jjvilaire,haiti
Jean-Michel Lemaire,jmlemaire,guadeloupe
Jennie Wheatley,jwheatley,british_virgin_islands
Jennifer Bent,jbent,jamaica
Jivan Kaur Soverall,jksoverall,united_states
