Author,author_id,author_country
Giselle Liza Anatol,glanatol,trinidad_&_tobago
Gregory Thompson,gthompson,trinidad_&_tobago
Guillermo Cabrera Infante,gcinfante,cuba
Harischandra Khemraj,hkhemraj,guyana
Harold Sonny Ladoo,hsladoo,trinidad_&_tobago
Hazel Simmons-McDonald,hsmcdonald,st._lucia
Henock Trouillot,htrouillot,haiti
J. Ashton Brathwaite,jabrathwaite,barbados
Janelle S Martin,jsmartin,united_states
Juan Antonio Alix,jaalix,dominican_republic
Juan Francisco Manzano,jfmanzano,cuba
Julie K Lundgren,jklundgren,united_states
Karen Mah-Chamberlain,kmahchamberlain,united_states
Kettly Mars,kmars,haiti
Kia Marie Khelawan,kmkhelawan,trinidad_&_tobago
Léonora Miano,lmiano,cameroon
Lindsay Barrett,lbarrett,jamaica
Lloyd King,lking,united_states
Zoukouyanyan Compagnie,zcompagnie,french_guiana
Mariano Brull,mbrull,cuba
Henry Hesketh Bell,hhbell,france
Ida Faubert,ifaubert,haiti
Marie-Magdeleine Carbet,mmcarbet,martinique
Ira Lunan Ferguson,ilferguson,jamaica
Jivan Kaur Soverall,jksoverall,united_states
Jennifer Bent,jbent,jamaica
Martin Amis,mamis,england
Jennie Wheatley,jwheatley,british_virgin_islands
May Farquharson,mfarquharson,jamaica
Jacques Laroche,jlaroche,haiti
Ivory Kelly,ikelly,belize
John M Kirk,jmkirk,united_states
Michael Anthony Field,mafield,trinidad_&_tobago
John Jacob Thomas,jjthomas,trinidad_&_tobago
Jonathan De La Rosa,jdlrosa,united¬†states
Jose Rodriguez Feo,jrfeo,cuba
Junot Diaz,jdiaz,dominican_republic
Janice Shinebourne,jshinebourne,guyana
Jean D'Costa,jdcosta,jamaica
Hilary Beckles,hbeckles,barbados
Josie Peterson,jpeterson,united_states
Kathleen Drayton,kdrayton,trinidad_&_tobago
Lyndon J. Dominique,ljdominique,united_states
Adam Lowe,alowe,st._kitts_&_nevis
Lyne-Marie Stanley,lmstanley,french_guiana
Denise Harris,dharris,guyana
Roopnandan Singh,rsingh,guyana
Sara Collins,scollins,jamaica
Severo Sarduy,ssarduy,cuba
Shakirah Bourne,sbourne,barbados
Marion Dowe,mdowe,dominica
Michelle Gargar,mgargar,australia
Sherwyn Besson,sbesson,trinidad_&_tobago
A Halcrow,ahalcrow,england
Albert Maria Gomes,amgomes,trinidad_&_tobago
Alberto Garrandés,agarrandés,cuba
Stephanie Mckenzie,smckenzie,canada
Suzanne Durant,sdurant,barbados
Alexandra Isfahani-Hammond,aisfahanihammond,united_states
Tip Marugg,tmarugg,curaçao
Vahni Capildeo,vcapildeo,trinidad_&_tobago
Luis Aguero,laguero,cuba
Alfonso Hernández Catá,ahcata,spain
Alicia Ikida Harraway,aiharraway,united_states
Amy Novak,anovak,united_states
Andrea Levy,alevy,england
Anthony Nash,anash,england
Umberto Valverde,uvalverde,columbia
Vanessa Spence,vspence,jamaica
Velta J Clarke,vjclarke,jamaica
Victor Stafford Reid,vsreid,jamaica
William P Barron,wpbarron,england
Vigil Diaz,vdiaz,dominican_republic
Katia D. Ulysse,kdulysse,haiti
Kevin Baldeosingh,kbaldeosingh,trinidad_&_tobago
Kevyn Alan Arthur,kaarthur,barbados
Krystal A Sital,kasital,trinidad_&_tobago
Lenelle Moïse,lmoïse,haiti
Leone Ross,lross,england
Hubert Nigel Thomas,hnthomas,st._vincent
Ismith Khan,ikhan,trinidad_&_tobago
Soleida Rios,srios,cuba
Louis-Philippe Dalembert,lpdalembert,haiti
Youmna Charara,ycharara,italy
Wycliffe Bennett,wbennett,jamaica
Wayne Gerard Trotman,wgtrotman,trinidad_&_tobago
Rooplall Monar,rmonar,guyana
Roger Dorsinville,rdorsinville,haiti
Roderick Walcott,rwalcott,st._lucia
Roberto Valero,rvalero,cuba
Robert Antoni,rantoni,united_states
Roberto Fernández Retamar,rfretamar,cuba
René Bonneville,rbonneville,martinique
Raoul B. Altidor,rbaltidor,haiti
Rachel Manley,rmanley,england
Rachel Kirby,rkirby,england
Rabindranath Maharaj,rmaharaj,trinidad_&_tobago
R. L. C. Aarons,rlcaarons,jamaica
Pompée Valentin Vastey,pvvastey,haiti
Philippe Thoby-Marcelin,ptmarcelin,haiti
Narmala Shewcharan,nshewcharan,guyana
Neville Dawes,ndawes,nigeria
Margarite Fernández Olmos,mfolmos,united_states
O.R Dathorne,ordathorne,guyana
Claude McKay,cmckay,jamaica
Maryse Condé,mconde,guadeloupe
Christine Craig,ccraig,jamaica
Claire Adam,cadam,trinidad_&_tobago
David Dabydeen,ddabydeen,guyana
Liesel Daisley,ldaisley,barbados
Naima Coster,ncoster,united_states
Sabrina Costanzo,scostanzo,england
Raphaël Confiant,rconfiant,martinique
R.B Cunnighame-Graham,rbcunninghamegraham,england
Roque Dalton,rdalton,el_salvador
Stephen A Dantes,sadantes,st._lucia
Saint-John Perse,sjperse,guadeloupe
Edwidge Danticat,edanticat,haiti
Sarah Dass,sdass,trinidad_&_tobago
Kwame Senu Neville Dawes,ksndawes,jamaica
De Lisser H. G.,hgdlisser,jamaica
Ramón De Palma,rdepalma,cuba
Alejo Carpentier,acarpentier,cuba
Kamalo Deen,kdeen,united_states
Eduardo Del Llano,edelllano,cuba
Tony Delsham,tdelsham,martinique
Nicole Deniss-Benn,ndennisbenn,jamaica
Didacus Jules,djules,st._lucia
Eliseo Diego,ediego,cuba
Jude Duranty,jduranty,martinique
Karl Craig,kcraig,jamaica
Rene Depestre,rdepestre,haiti
Suzanne Dracius,sdracius,martinique
Austin Clarke,aclarke,barbados
Zetta Elliott,zelliott,canada
John J Figueroa,jjfigueroa,jamaica
Curdella Forbes,cforbes,jamaica
David Franklyn,dfranklyn,brazil
Leslie Francois Manigat,lfmanigat,haiti
Ifeona Fulani,ifulani,jamaica
Roy A Galt,ragalt,trinidad_&_tobago
Gabriela Garciia,ggarciia,united_states
Danielle Legros Georges,dlgeorges,haiti
Beryl Gilroy,bgilroy,guyana
Neville Giuseppi,ngiuseppi,trinidad_&_tobago
Undine Giuseppi,ugiuseppi,barbados
Glynis Guevara,gguevara,trinidad_&_tobago
Elizabeth Swanson Goldberg,esgoldberg,united_states
Lázaro Gómez Carriles,lgcarriles,united_states
Lorna Goodison,lgoodison,jamaica
Walter Goodman,wgoodman,united¬†states
Jean Goulbourne,jgoulbourne,jamaica
Osvaldo García Goyco,oggoyco,puerto_rico
Great Britain Colonial Office,greatbritaincolonialoffice,britain
Desmond Hall,dhall,jamaica
Barbara Hambly,bhambley,united_states
