authorid,Author,Country,Lifespan,Wikimedia,dloc
alowe,Adam Lowe,England,1985-,https://en.wikipedia.org/wiki/Adam_Lowe_(writer),
aandwele,Adisa Andwele,Barbados,Unknown,https://en.wikipedia.org/wiki/Adisa_Andwele,
atous,Adriana Tous,Cuba,Unknown,,
acésaire,Aimé Césaire,Martinique,1913-2008,https://en.wikipedia.org/wiki/Aim%C3%A9_C%C3%A9saire,
arsantos,Alaí Reyes-Santos,United States,Unknown,,
amgomes,Albert Maria Gomes,Trinidad & Tobago,1911-1978,https://en.wikipedia.org/wiki/Albert_Gomes,
agarrandés,Alberto Garrandés,Cuba,Unknown,https://es.wikipedia.org/wiki/Alberto_Garrand%C3%A9s,
amckenzie,Alecia McKenzie,Jamaica,1962-,https://en.wikipedia.org/wiki/Alecia_McKenzie,https://dloc.com/AA00090268/00058/pdf
acarpentier,Alejo Carpentier,Cuba,1904-1980,https://en.wikipedia.org/wiki/Alejo_Carpentier,https://createcaribbean.org/vcl/acarpentier_dloc/
aisfahanihammond,Alexandra Isfahani-Hammond,United States,Unknown,,https://www.dloc.com/UF00099461/00113/pdf
aarthurs,Alexia Arthurs,Jamaica,Unknown,https://en.wikipedia.org/wiki/Alexia_Arthurs,
ahcata,Alfonso Hernández Catá,Spain,1885-1940,https://es.wikipedia.org/wiki/Alfonso_Hern%C3%A1ndez-Cat%C3%A1,https://www.dloc.com/AA00089347/00001/images
aalexandre,Alfred Alexandre,Martinique,1970-,,
ahmendes,Alfred Hubert Mendes,Trinidad & Tobago,1897-1991,https://en.wikipedia.org/wiki/Alfred_Mendes,https://createcaribbean.org/vcl/ahmendes_dloc/
aiharraway,Alicia Ikida Harraway,United States,Unknown,,
alazare,Alick Lazare,Dominica,1934-,,https://www.dloc.com/UF00072476/00018/images
aprince,Althea Prince,Antigua & Barbuda,1945-,https://en.wikipedia.org/wiki/Althea_Prince,
acummins,Alvin Cummins,Barbados,Unknown,,
awilentz,Amy Wilentz,United States,1954-,https://en.wikipedia.org/wiki/Amy_Wilentz,https://createcaribbean.org/vcl/awilentz_dloc/
aségalas,Anaïs Ségalas,France,1811-1893,https://en.wikipedia.org/wiki/Ana%C3%AFs_S%C3%A9galas,
aparadis,André Paradis,France,1939-2024,https://fr.wikipedia.org/wiki/Andr%C3%A9_Paradis_(%C3%A9crivain),
alevy,Andrea Levy,England,1956-2019,https://en.wikipedia.org/wiki/Andrea_Levy,https://www.dloc.com/AA00000079/00009/images
astuart,Andrea Stuart,Jamaica,1962-,https://en.wikipedia.org/wiki/Andrea_Stuart,
asalkey,Andrew Salkey,Jamaica,1928-1995,https://en.wikipedia.org/wiki/Andrew_Salkey,https://createcaribbean.org/vcl/asalkey_dloc/
aaugier,Ángel Augier,Cuba,1910-2010,https://es.wikipedia.org/wiki/%C3%81ngel_Augier,
arawiri,Angèle Rawiri,gabon,1954-2010,https://en.wikipedia.org/wiki/Ang%C3%A8le_Rawiri,
asankar,Anisah Sankar,Trinidad & Tobago,Unknown,,
acwinkler,Anthony C. Winkler,Jamaica,1942-2015,https://en.wikipedia.org/wiki/Anthony_C._Winkler,https://createcaribbean.org/vcl/acwinkler_dloc/
akellman,Anthony Kellman,Barbados,1955-,https://en.wikipedia.org/wiki/Anthony_Kellman,
anash,Anthony Nash,Trinidad & Tobago,Unknown,,
abenitezrogo,Antonio Benítez-Rojo,Cuba,Unknown,,
amoreno,Antonio Moreno,Spain,1887-1967,https://en.wikipedia.org/wiki/Antonio_Moreno,
aminatchybogat,Arlette Minatchy-Bogat,Guadeloupe,1945-,,
alhendriks,Arthur Lemiere Hendriks,Jamaica,1922-1992,https://en.wikipedia.org/wiki/A._L._Hendriks,https://createcaribbean.org/vcl/alhendriks_dloc/
abromfield,Asha Bromfield,Canada,1994-,,
alorde,Audre Lorde,United States,1943-1992,https://en.wikipedia.org/wiki/Audre_Lorde,https://createcaribbean.org/vcl/alorde_dloc/
aclarke,Austin Clarke,Barbados,1934-2016,https://en.wikipedia.org/wiki/Austin_Clarke_(novelist),https://createcaribbean.org/vcl/aclarke_dloc/
bpaul,Baptiste Paul,France,Unknown,,
bapplin,Barbara Applin,United States,Unknown,,
bhambley,Barbara Hambly,United States,1951,https://en.wikipedia.org/wiki/Barbara_Hambly,
bjenkins,Barbara Jenkins,Trinidad & Tobago,Unknown,https://en.wikipedia.org/wiki/Barbara_Jenkins,https://www.dloc.com/AA00090268/00039/pdf
blalla,Barbara Lalla,Jamaica,1949,,https://createcaribbean.org/vcl/blalla_dloc/
bphilippe,Ben Philippe,Haiti,Unknown,https://en.wikipedia.org/wiki/Ben_Philippe,
bmontabo,Bernard Montabo,Guyana,Unknown,https://ht.wikipedia.org/wiki/Bernard_Montabo,
bgilroy,Beryl Gilroy,Guyana,1924-2001,https://en.wikipedia.org/wiki/Beryl_Gilroy,https://createcaribbean.org/vcl/bgilroy_dloc/
bbyrne,Bonifacio Byrne,Cuba,1861-1936,https://es.wikipedia.org/wiki/Bonifacio_Byrne,https://createcaribbean.org/vcl/bbyrne_dloc/
