 Llewellyn Emery,lemery,spain,,,,,,,,,
lemery,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lemery,The Fires of Pembroke,1999,English,The Bermudian Publishing Company Limited,Pembroke,Bermuda,,Fiction,n,91,
lemery,Nothin' But A Pond Dog,1999,English,The Bermudian Publishing Company Limited,Pembroke,Bermuda,,Fiction,n,NA,
