Renée Clémentine Lucien,rclucien,martinique,,,,,,,,,
rclucien,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
rclucien,"Résistance et cubanité trois écrivains nés avec la révolution cubaine ; Eliseo Alberto, Leonardo Padura et Zoé Valdes trois écrivains nés avec la révolution cubaine ; Eliseo Alberto, Leonardo Padura et Zoé Valdes",2006,French,L'Harmattan,Paris,France,paris_france,Non Fiction,n,375,
rclucien,"Leonardo Padura, ""La novela de mi vida""",2020,French,"Atlande, DL",Paris,France,paris_france,Non Fiction,n,382,
