authorid,Author,Country,mapId,birthYear,deathYear,Lifespan,Wikimedia,dloc,lon,lat
ilferguson,Ira Lunan Ferguson,Jamaica,4,1904,1992,1904-1992,https://en.wikipedia.org/wiki/Ira_Lunan_Ferguson,,-77.31110641,18.15769529
iachuecos,Isabel Abellán Chuecos,Spain,2,0,0,Unknown,,,-3.646063105,40.22794966
ikhan,Ismith Khan,Trinidad & Tobago,3,1925,2002,1925-2002,https://en.wikipedia.org/wiki/Ismith_Khan,,-61.26048814,10.47267428
ikelly,Ivory Kelly,Belize,33,0,0,Unknown,,,-88.69496155,17.20905026
jabrathwaite,J. Ashton Brathwaite,Barbados,12,0,0,Unknown,https://en.wikipedia.org/wiki/Odimumba_Kwamdela,,-59.55642448,13.17222198
jross,Jacob Ross,Grenada,27,1956,0,1956-,https://en.wikipedia.org/wiki/Jacob_Ross,,-61.65964496,12.15196505
jroumain,Jacques Roumain,Haiti,5,1907,1944,1907-1944,https://en.wikipedia.org/wiki/Jacques_Roumain,https://createcaribbean.org/vcl/jroumain_dloc/,-72.3385625,18.40248133
jsalexis,Jacques Stephen Alexis,Haiti,5,1922,1961,1922-1961,https://en.wikipedia.org/wiki/Jacques_Stephen_Alexis,https://createcaribbean.org/vcl/jsalexis_dloc/,-72.3385625,18.40248133
jkincaid,Jamaica Kincaid,Antigua & Barbuda,38,1949,0,1949-,https://en.wikipedia.org/wiki/Jamaica_Kincaid,https://createcaribbean.org/vcl/jkincaid_dloc/,-61.79871012,17.07766464
jlinen,James Linen,England,11,1808,1873,1808-1873,,,-1.458627594,52.59273448
jamsie,Jamsie,Ireland,39,0,0,Unknown,,https://createcaribbean.org/vcl/jamsie_dloc/,-8.146006147,53.17587985
jjdominique,Jan J Dominique,Haiti,5,1953,0,1953-,https://fr.wikipedia.org/wiki/Jan_J._Dominique,https://createcaribbean.org/vcl/jjdominique_dloc/,-72.3385625,18.40248133
jshinebourne,Janice Shinebourne,Guyana,62,1947,0,1947-,https://en.wikipedia.org/wiki/Jan_Shinebourne,https://createcaribbean.org/vcl/jshinebourne_dloc/,-58.97538658,4.79642268
jbernabé,Jean Bernabé,Martinique,8,1942,2017,1942-2017,https://en.wikipedia.org/wiki/Jean_Bernab%C3%A9,https://createcaribbean.org/vcl/jbernab%c3%a9_dloc/,-61.01838056,14.65313333
jbreeze,Jean Breeze,Jamaica,4,1956,2021,1956-2021,https://en.wikipedia.org/wiki/Jean_%22Binta%22_Breeze,https://createcaribbean.org/vcl/jbreeze_dloc/,-77.31110641,18.15769529
jdcosta,Jean D'Costa,Jamaica,4,1937,0,1937-,https://en.wikipedia.org/wiki/Jean_D%27Costa,https://createcaribbean.org/vcl/jdcosta_dloc/,-77.31110641,18.15769529
jdjoachim,Jean Dany Joachim,Haiti,5,0,0,Unknown,,,-72.3385625,18.40248133
jgoulbourne,Jean Goulbourne,Jamaica,4,0,0,Unknown,,https://createcaribbean.org/vcl/jgoulbourne_dloc/,-77.31110641,18.15769529
jrhys,Jean Rhys,Dominica,10,1890,1979,1890-1979,https://en.wikipedia.org/wiki/Jean_Rhys,https://createcaribbean.org/vcl/jrhys_dloc/,-61.35007388,15.43465728
jjvilaire,Jean-Joseph Vilaire,Haiti,5,1881,1967,1881-1967,,https://www.dloc.com/AA00000461/00018/images,-72.3385625,18.40248133
jmlemaire,Jean-Michel Lemaire,Guadeloupe,29,1960,0,1960-,,,-61.65012,16.14475253
jwheatley,Jennie Wheatley,British Virgin Islands,63,1939,0,1939-,https://en.wikipedia.org/wiki/Jennie_Wheatley,https://www.dloc.com/AA00032523/00002/images,-64.5942075,18.43030834
jbent,Jennifer Bent,Jamaica,4,1973,0,1973-,https://en.wikipedia.org/wiki/Joanne_C._Hillhouse,https://createcaribbean.org/vcl/jchillhouse_dloc/,-77.31110641,18.15769529
jksoverall,Jivan Kaur Soverall,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
jchillhouse,Joanne C. Hillhouse,Antigua & Barbuda,38,0,0,Unknown,,,-61.79871012,17.07766464
jskerrett,Joanne Skerrett,Dominica,10,0,0,Unknown,,,-61.35007388,15.43465728
jhearne,John Hearne,Jamaica,4,1926,1994,1926-1994,https://en.wikipedia.org/wiki/John_Hearne_(writer),https://createcaribbean.org/vcl/jhearne_dloc/,-77.31110641,18.15769529
jjfigueroa,John J Figueroa,Jamaica,4,1920,1990,1920-1999,https://en.wikipedia.org/wiki/John_Figueroa,,-77.31110641,18.15769529
jmorris,John Morris,England,11,0,0,Unknown,,,-1.458627594,52.59273448
jrlee,John Robert Lee,St. Lucia,16,1948,0,1948-,,,-60.96730046,13.89863973
jwboddamwhetham,John W. Boddam-Whetham,Australia,36,0,0,Unknown,,https://createcaribbean.org/vcl/jwboddamwhetham_dloc/,134.4840312,-25.70993157
jdlrosa,Jonathan De La Rosa,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
jronet,Jorge Ronet,Brazil,35,0,0,Unknown,,,-53.07346689,-10.76994643
jllima,José Lezama Lima,Cuba,14,1910,1976,1910-1976,https://en.wikipedia.org/wiki/Jos%C3%A9_Lezama_Lima,,-79.5,22
jmartí,Jose Martí,Cuba,14,0,0,Unknown,,,-79.5,22
jpsariol,Jose Prats Sariol,Cuba,14,1946,0,1946-,https://es.wikipedia.org/wiki/Jos%C3%A9_Prats_Sariol,,-79.5,22
jrfeo,Jose Rodriguez Feo,Cuba,14,1920,1993,1920-1993,,,-79.5,22
jhusband,Joseph Husband,France,17,1864,1952,1864-1952,,https://createcaribbean.org/vcl/jhusband_dloc/,2.550539953,46.55941704
jzobel,Joseph Zobel,Martinique,8,1915,2006,1915-2006,https://en.wikipedia.org/wiki/Joseph_Zobel,,-61.01838056,14.65313333
jpeterson,Josie Peterson,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
jhinkson,Joy Hinkson,Barbados,12,0,0,1949-,,https://www.dloc.com/AA00013173/00001/pdf,-59.55642448,13.17222198
jaalix,Juan Antonio Alix,Dominican Republic,9,1833,1918,1833-1918,,https://createcaribbean.org/vcl/jaalix_dloc/,-70.49003617,18.89668483
jcnunez,Juan Carlos Nunez,Chile,49,1968,0,1968-,,,-71,-30
jfmanzano,Juan Francisco Manzano,Cuba,14,1797,1854,1797-1854,https://en.wikipedia.org/wiki/Juan_Francisco_Manzano,,-79.5,22
jpdeleon,Juana Ponce de León,Puerto Rico,37,0,0,Unknown,,,-66.46895343,18.2226065
jduranty,Jude Duranty,Martinique,8,1951,0,1951-,,https://www.dloc.com/UF00083246/00002/images,-61.01838056,14.65313333
jrossell,Judith Rossell,Australia,36,1953,0,1953-,,,134.4840312,-25.70993157
jstone,Judy Stone,Australia,36,1942,0,1942-,https://en.wikipedia.org/wiki/Judy_Stone,,134.4840312,-25.70993157
jghunta,Juleus Ghunta,Jamaica,4,1988,0,1988-,,,-77.31110641,18.15769529
jalvarez,Julia Alvarez,United States,1,1950,0,1950-,https://en.wikipedia.org/wiki/Julia_Alvarez,https://www.dloc.com/CA00800001/00001/images,-99.41461919,39.39870316
jklundgren,Julie K Lundgren,United States,1,1961,0,1961,,,-99.41461919,39.39870316
jortega,Julio Ortega,Cuba,14,1942,0,1942-,https://es.wikipedia.org/wiki/Julio_Ortega_(escritor),https://www.dloc.com/UF00081352/00001/images,-79.5,22
jdiaz,Junot Diaz,Dominican Republic,9,1968,0,1968-,https://en.wikipedia.org/wiki/Junot_D%C3%ADaz,https://createcaribbean.org/vcl/jdiaz_dloc/,-70.49003617,18.89668483
jlherisson,Justin Lhérisson,Haiti,5,1873,1907,1873-1907,https://fr.wikipedia.org/wiki/Justin_Lh%C3%A9risson,https://www.dloc.com/AA00073342/00001/downloads,-72.3385625,18.40248133
kdeen,Kamalo Deen,Trinidad & Tobago,3,1944,0,1944-,,,-61.26048814,10.47267428
klord,Karen Lord,Barbados,12,0,0,1968-,https://en.wikipedia.org/wiki/Karen_Lord,,-59.55642448,13.17222198
kmahchamberlain,Karen Mah-Chamberlain,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
kcraig,Karl Craig,Jamaica,4,1937,0,1937-,,https://createcaribbean.org/vcl/kcraig_dloc/,-77.31110641,18.15769529
kdrayton,Kathleen Drayton,Trinidad & Tobago,3,1930,2009,1930-2009,,,-61.26048814,10.47267428
kdulysse,Katia D. Ulysse,Haiti,5,1975,0,1975-,,https://www.dloc.com/AA00000079/00006/images,-72.3385625,18.40248133
kwolek,Katia Wolek,France,17,1946,0,1946-,,,2.550539953,46.55941704
kmiller,Kei Miller,Jamaica,4,1978,0,1978-,https://en.wikipedia.org/wiki/Kei_Miller,https://createcaribbean.org/vcl/kmiller_dloc/,-77.31110641,18.15769529
khippolyte,Kendel Hippolyte,St. Lucia,16,1952,0,1952-,https://en.wikipedia.org/wiki/Kendel_Hippolyte,https://createcaribbean.org/vcl/khippolyte_dloc/,-60.96730046,13.89863973
kmars,Kettly Mars,Haiti,5,1958,0,1958-,https://en.wikipedia.org/wiki/Kettly_Mars,https://createcaribbean.org/vcl/kmars_dloc/,-72.3385625,18.40248133
kbaldeosingh,Kevin Baldeosingh,Trinidad & Tobago,3,1963,0,1963-,https://en.wikipedia.org/wiki/Kevin_Baldeosingh,https://createcaribbean.org/vcl/kbaldeosingh_dloc/,-61.26048814,10.47267428
kaarthur,Kevyn Alan Arthur,Barbados,12,0,0,1942-,,https://www.dloc.com/UF00096005/00024/images,-59.55642448,13.17222198
kmkhelawan,Kia Marie Khelawan,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
kasital,Krystal A Sital,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
ksndawes,Kwame Senu Neville Dawes,Jamaica,4,1962,0,1962-,https://en.wikipedia.org/wiki/Kwame_Dawes,https://www.dloc.com/AA00030335/00001/images,-77.31110641,18.15769529
lpersaud,Lakshmi Persaud,Trinidad & Tobago,3,1939,0,1939-,https://en.wikipedia.org/wiki/Lakshmi_Persaud,https://www.dloc.com/UF00094180/00055/pdf,-61.26048814,10.47267428
lwillig,Lauren Willig,United States,1,0,0,Unknown,https://en.wikipedia.org/wiki/Lauren_Willig,,-99.41461919,39.39870316
lscott,Lawrence Scott,Trinidad & Tobago,3,1943,0,1943-,https://en.wikipedia.org/wiki/Lawrence_Scott,,-61.26048814,10.47267428
lgcarriles,Lázaro Gómez Carriles,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
lmoïse,Lenelle Moïse,Haiti,5,1980,0,1980-,https://en.wikipedia.org/wiki/Lenelle_Mo%C3%AFse,,-72.3385625,18.40248133
lhonychurch,Lennox Honychurch,Dominica,10,1952,0,1952-,https://en.wikipedia.org/wiki/Lennox_Honychurch,https://createcaribbean.org/vcl/lhonychurch_dloc/,-61.35007388,15.43465728
lpfuentes,Leonardo Padura Fuentes,Cuba,14,1955,0,1955-,https://en.wikipedia.org/wiki/Leonardo_Padura_Fuentes,https://createcaribbean.org/vcl/lpfuentes_dloc/,-79.5,22
lross,Leone Ross,England,11,1969,0,1969-,https://en.wikipedia.org/wiki/Leone_Ross,,-1.458627594,52.59273448
lfmanigat,Leslie Francois Manigat,Haiti,5,1988,2014,1988-2014,https://en.wikipedia.org/wiki/Leslie_Manigat,https://createcaribbean.org/vcl/lfmanigat_dloc/,-72.3385625,18.40248133
lhenry,Lewis Henry,United States,1,1950,0,1950-,,,-99.41461919,39.39870316
ldaisley,Liesel Daisley,Barbados,12,0,0,Unknown,,https://createcaribbean.org/vcl/ldaisley_dloc/,-59.55642448,13.17222198
lbarrett,Lindsay Barrett,Jamaica,4,1941,0,1941-,https://en.wikipedia.org/wiki/Lindsay_Barrett,https://createcaribbean.org/vcl/lbarrett_dloc/,-77.31110641,18.15769529
lncalvo,Lino Novás Calvo,Spain,2,1903,1983,1903-1983,https://es.wikipedia.org/wiki/Lino_Nov%C3%A1s_Calvo,,-3.646063105,40.22794966
laagostini,Lisa Allen-Agostini,Trinidad & Tobago,3,0,0,Unknown,https://en.wikipedia.org/wiki/Lisa_Allen-Agostini,https://www.dloc.com/AA00090268/00050/pdf,-61.26048814,10.47267428
lemery,Llewellyn Emery,Spain,2,0,0,Unknown,,,-3.646063105,40.22794966
lking,Lloyd King,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
lgoodison,Lorna Goodison,Jamaica,4,1947,0,1947-,https://en.wikipedia.org/wiki/Lorna_Goodison,https://createcaribbean.org/vcl/lgoodison_dloc/,-77.31110641,18.15769529
lcarpinteros,Los Carpinteros,Cuba,14,0,0,Unknown,,,-79.5,22
lpdalembert,Louis-Philippe Dalembert,Haiti,5,1980,0,1980-,https://en.wikipedia.org/wiki/Louis-Philippe_Dalembert,https://createcaribbean.org/vcl/lpdalembert_dloc/,-72.3385625,18.40248133
lbennett,Louise Bennett,Jamaica,4,1919,2006,1919-2006,https://en.wikipedia.org/wiki/Louise_Bennett-Coverley,https://createcaribbean.org/vcl/lbennett_dloc/,-77.31110641,18.15769529
lharpon,Louise Harpon,Unknown,0,0,0,Unknown,https://ht.wikipedia.org/wiki/Louise_Harpon,,,
lcazal,Louison Cazal,Martinique,8,0,0,Unknown,,,-61.01838056,14.65313333
llcoll,Lucía López Coll,Cuba,14,0,0,Unknown,,,-79.5,22
laguero,Luis Aguero,Cuba,14,1937,0,1937-,,https://www.dloc.com/AA00090768/00001/images,-79.5,22
lrsanchez,Luis Rafael Sánchez,Puerto Rico,37,1936,0,1936-,https://en.wikipedia.org/wiki/Luis_Rafael_S%C3%A1nchez,,-66.46895343,18.2226065
lpdezambrana,Luisa Pérez de Zambrana,Cuba,14,1837,1922,1837-1922,https://en.wikipedia.org/wiki/Luisa_P%C3%A9rez_de_Zambrana,https://www.dloc.com/AA00065141/00001/pdf,-79.5,22
ljdominique,Lyndon J. Dominique,United States,1,1972,0,1972,,,-99.41461919,39.39870316
lmstanley,Lyne-Marie Stanley,French Guiana,28,1944,0,1944-,https://fr.wikipedia.org/wiki/Lyne-Marie_Stanley,,-53.23312207,3.921724136
mmontano,Machel Montano,Trinidad & Tobago,3,1974,0,1974,https://en.wikipedia.org/wiki/Machel_Montano,https://createcaribbean.org/vcl/mmontano_dloc/,-61.26048814,10.47267428
mlopez,Magdalena López,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
msdas,Mahadai Das,Guyana,62,0,0,Unknown,,,-58.97538658,4.79642268
mmoulite,Maika Moulite,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
mcard,Maisy Card,Jamaica,4,0,0,Unknown,,,-77.31110641,18.15769529
mzolivella,Manuel Zapata Olivella,Colombia,66,1920,2004,1920-2004,https://en.wikipedia.org/wiki/Manuel_Zapata_Olivella,https://createcaribbean.org/vcl/mzolivella_dloc/,-73.07575492,3.901115804
memanley,Mara Etienne-Manley,Dominica,10,0,0,Unknown,,,-61.35007388,15.43465728
mnérée,Marcel Nérée,France,17,0,0,Unknown,,,2.550539953,46.55941704
mbreton,Marcela Breton,United States,1,0,0,Unknown,,https://www.dloc.com/AA00061374/00001/pdf,-99.41461919,39.39870316
mdouglas,Marcia Douglas,Jamaica,4,1961,0,1961-,https://en.wikipedia.org/wiki/Marcia_Douglas,,-77.31110641,18.15769529
mbusby,Margaret Busby,Ghana,25,1944,0,1944-,https://en.wikipedia.org/wiki/Margaret_Busby,,-1.249772342,7.980995107
msduran,Margarita Suero-Duran,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
mnugent,Maria Nugent,United States,1,1771,1834,1771-1834,https://en.wikipedia.org/wiki/Maria_Nugent,https://www.dloc.com/AA00052852/00001/images,-99.41461919,39.39870316
mrsquires,Maria Roberts-Squires,Jamaica,4,0,0,Unknown,,,-77.31110641,18.15769529
mbrull,Mariano Brull,Cuba,14,1891,1956,1891-1956,https://en.wikipedia.org/wiki/Mariano_Brull,https://createcaribbean.org/vcl/mbrull_dloc/,-79.5,22
mrodriguez,Mariano Rodríguez,Cuba,14,1912,1990,1912-1990,https://es.wikipedia.org/wiki/Mariano_Rodr%C3%ADguez,,-79.5,22
marnold,Marie Arnold,Haiti,5,0,0,Unknown,,,-72.3385625,18.40248133
mcagnant,Marie Célie Agnant,Haiti,5,1953,0,1953-,https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant,https://www.dloc.com/AA00079182/00001/downloads,-72.3385625,18.40248133
mevelyn,Marie Evelyn,Barbados,12,0,0,Unknown,,,-59.55642448,13.17222198
mvchauvet,Marie Vieux-Chauvet,Haiti,5,1916,1973,1916-1973,https://en.wikipedia.org/wiki/Marie_Vieux-Chauvet,https://createcaribbean.org/vcl/mvchauvet_dloc/,-72.3385625,18.40248133
mejohn,Marie-Elena John,Antigua & Barbuda,38,1963,0,1963-,https://en.wikipedia.org/wiki/Marie-Elena_John,,-61.79871012,17.07766464
mjaugustin,Marie-Joséphine Augustin,United States,1,1816,1850,1816-1850,,,-99.41461919,39.39870316
mmcarbet,Marie-Magdeleine Carbet,Martinique,8,1902,1996,1902-1996,https://fr.wikipedia.org/wiki/Marie-Magdeleine_Carbet,,-61.01838056,14.65313333
mpreziuso,Marika Preziuso,Italy,20,0,0,Unknown,,,12.83333,42.83333
mbleón,Marilyn Bobes León,Cuba,14,1955,0,1955-,https://en.wikipedia.org/wiki/Marilyn_Bobes,,-79.5,22
msbrown,Marina Salandy-Brown,Trinidad & Tobago,3,0,0,Unknown,https://en.wikipedia.org/wiki/Marina_Salandy-Brown,,-61.26048814,10.47267428
mbethel,Marion Bethel,The Bahamas,19,1953,0,1953-,https://en.wikipedia.org/wiki/Marion_Bethel,https://www.dloc.com/CA00299029/00001/images,-77.37122,25.04082
mdowe,Marion Dowe,Dominica,10,0,0,Unknown,,,-61.35007388,15.43465728
mocallaghan,Marion O'Callaghan,Trinidad & Tobago,3,1931,2016,1931-2016,https://en.wikipedia.org/wiki/Marion_Patrick_Jones,https://www.dloc.com/UF00072147/00186/images,-61.26048814,10.47267428
mmcwatt,Mark McWatt,Guyana,62,1947,0,1947-,https://en.wikipedia.org/wiki/Mark_McWatt,https://createcaribbean.org/vcl/mmcwatt_dloc/,-58.97538658,4.79642268
mnphilip,Marlene Nourbese Philip,Trinidad & Tobago,3,1947,0,1947-,https://en.wikipedia.org/wiki/M._NourbeSe_Philip,,-61.26048814,10.47267428
mjames,Marlon James,Jamaica,4,1970,0,1970-,https://en.wikipedia.org/wiki/Marlon_James_(novelist),https://createcaribbean.org/vcl/mjames_dloc/,-77.31110641,18.15769529
mblanchard,Martha Blanchard,St. Lucia,16,0,0,Unknown,,,-60.96730046,13.89863973
mamis,Martin Amis,England,11,1949,0,1949-,https://en.wikipedia.org/wiki/Martin_Amis,,-1.458627594,52.59273448
mprince,Mary Prince,Bermuda,51,1788,1833,1788-1833,https://en.wikipedia.org/wiki/Mary_Prince,https://www.dloc.com/AA00015607/00001/downloads,-64.77004184,32.30681773
mconde,Maryse Condé,Guadeloupe,29,1937,0,1937-,https://en.wikipedia.org/wiki/Maryse_Cond%C3%A9,https://createcaribbean.org/vcl/mconde_dloc/,-61.65012,16.14475253
mjchapman,Matthew James Chapman,Barbados,12,1796,0,1796- Unknown,,https://www.dloc.com/AA00062339/00001/images,-59.55642448,13.17222198
mheurtelou,Maude Heurtelou,Haiti,5,0,0,Unknown,,https://createcaribbean.org/vcl/mheurtelou_dloc/,-72.3385625,18.40248133
mwlewis,Maureen Warner-Lewis,Trinidad & Tobago,3,1943,0,1943-,https://en.wikipedia.org/wiki/Maureen_Warner-Lewis,https://createcaribbean.org/vcl/mwlewis_dloc/,-61.26048814,10.47267428
maantoine,Max A Antoine,Haiti,5,1980,0,1980-,,,-72.3385625,18.40248133
mfarquharson,May Farquharson,Jamaica,4,1894,1992,1894-1992,https://en.wikipedia.org/wiki/May_Farquharson,,-77.31110641,18.15769529
mdixon,McDonald Dixon,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
mjin,Meiling Jin,Guyana,62,1963,0,1963-,https://en.wikipedia.org/wiki/Meiling_Jin,https://createcaribbean.org/vcl/mjin_dloc/,-58.97538658,4.79642268
mabad,Mercedes Abad,Spain,2,1961,0,1961-,https://es.wikipedia.org/wiki/Mercedes_Abad,,-3.646063105,40.22794966
mcollins,Merle Collins,Grenada,27,1950,0,1950-,https://en.wikipedia.org/wiki/Merle_Collins,https://createcaribbean.org/vcl/mcollins_dloc/,-61.65964496,12.15196505
mhodge,Merle Hodge,Trinidad & Tobago,3,1944,0,1944-,https://en.wikipedia.org/wiki/Merle_Hodge,https://createcaribbean.org/vcl/mhodge_dloc/,-61.26048814,10.47267428
mmorris,Mervyn Morris,Jamaica,4,1937,0,1937-,https://en.wikipedia.org/wiki/Mervyn_Morris,https://createcaribbean.org/vcl/mmorris_dloc/,-77.31110641,18.15769529
manthony,Michael Anthony,Trinidad & Tobago,3,1932,2023,1932-2023,https://en.wikipedia.org/wiki/Michael_Anthony_(author),,-61.26048814,10.47267428
maubertin,Michael Aubertin,St. Lucia,16,1948,0,1948-,,,-60.96730046,13.89863973
mcozier,Michael Cozier,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
msmith,Michael Smith,Jamaica,4,1954,1983,1954-1983,https://en.wikipedia.org/wiki/Mikey_Smith,,-77.31110641,18.15769529
mthelwell,Michael Thelwell,Jamaica,4,1939,0,1939-,https://en.wikipedia.org/wiki/Ekwueme_Michael_Thelwell,https://createcaribbean.org/vcl/mthelwell_dloc/,-77.31110641,18.15769529
mmphilip,Michel Maxwell Philip,Trinidad & Tobago,3,1829,1888,1829-1888,https://en.wikipedia.org/wiki/Michel_Maxwell_Philip,https://createcaribbean.org/vcl/mmphilip_dloc/,-61.26048814,10.47267428
mcliff,Michelle Cliff,Jamaica,4,1946,2016,1946-2016,https://en.wikipedia.org/wiki/Michelle_Cliff,https://createcaribbean.org/vcl/mcliff_dloc/,-77.31110641,18.15769529
mgargar,Michelle Gargar,Australia,36,0,0,Unknown,,,134.4840312,-25.70993157
mpbartonromeo,Michelle Paula Barton-Romeo,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
maasturias,Miguel Ángel Asturias,Guatemala,15,1899,1974,1899-1974,https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Asturias,https://createcaribbean.org/vcl/maasturias_dloc/,-90.36397946,15.69723796
mcollazo,Miguel Collazo,Cuba,14,1936,1999,1936-1999,https://es.wikipedia.org/wiki/Miguel_Collazo,,-79.5,22
mdcarrión,Miguel de Carrión,Cuba,14,1875,1929,1875-1929,https://es.wikipedia.org/wiki/Miguel_de_Carri%C3%B3n,,-79.5,22
mricourt,Milagros Ricourt,United States,1,1960,0,1960-,,,-99.41461919,39.39870316
mrcáceres,Milagros Rodríguez Cáceres,Spain,2,1954,0,1954-,https://es.wikipedia.org/wiki/Milagros_Rodr%C3%ADguez_C%C3%A1ceres,,-3.646063105,40.22794966
mrosello,Mireille Rosello,United States,1,1957,0,1957-,,https://createcaribbean.org/vcl/mrosello_dloc/,-99.41461919,39.39870316
mroffey,Monique Roffey,Trinidad & Tobago,3,1965,0,1965-,https://en.wikipedia.org/wiki/Monique_Roffey,https://createcaribbean.org/vcl/mroffey_dloc/,-61.26048814,10.47267428
mmandisa,Mosi Mandisa,St. Kitts & Nevis,41,0,0,Unknown,,,-62.76560385,17.33971169
mpfernandez,Mylene Pintado Fernandz,Cuba,14,1963,0,1963-,https://es.wikipedia.org/wiki/Mylene_Fern%C3%A1ndez_Pintado,,-79.5,22
mjachancy,Myriam J. A Chancy,Haiti,5,1970,0,1970,https://en.wikipedia.org/wiki/Myriam_J._A._Chancy,,-72.3385625,18.40248133
mwvieyra,Myriam Warner-Vieyra,Guadeloupe,29,1939,2017,1939-2017,https://en.wikipedia.org/wiki/Myriam_Warner-Vieyra,https://createcaribbean.org/vcl/mwvieyra_dloc/,-61.65012,16.14475253
ncmarks,N. C. Marks,St. Vincent & the Grenadines,42,0,0,Unknown,,,-61.20075147,13.20184062
ndwilliams,N. D. Williams,Guyana,62,1942,0,1942-,https://en.wikipedia.org/wiki/N._D._Williams,https://www.dloc.com/AA00032523/00013/images/276,-58.97538658,4.79642268
nfimoja,Nailah Folami Imoja,Barbados,12,0,0,Unknown,,https://createcaribbean.org/vcl/nfimoja_dloc/,-59.55642448,13.17222198
ncoster,Naima Coster,United States,1,1986,0,1986-,https://en.wikipedia.org/wiki/Naima_Coster,,-99.41461919,39.39870316
nhopkinson,Nalo Hopkinson,Jamaica,4,1960,0,1960-,https://en.wikipedia.org/wiki/Nalo_Hopkinson,https://createcaribbean.org/vcl/nhopkinson_dloc/,-77.31110641,18.15769529
nroy,Namba Roy,Jamaica,4,1910,1961,1910 - 1961,https://en.wikipedia.org/wiki/Namba_Roy,https://createcaribbean.org/vcl/nroy_dloc/,-77.31110641,18.15769529
nmorejón,Nancy Morejón,Cuba,14,1944,0,1944-,https://en.wikipedia.org/wiki/Nancy_Morej%C3%B3n,,-79.5,22
njackson,Naomi Jackson,United States,1,0,0,Unknown,https://en.wikipedia.org/wiki/Naomi_Jackson,https://www.dloc.com/AA00090268/00026/pdf,-99.41461919,39.39870316
nshewcharan,Narmala Shewcharan,Guyana,62,0,0,Unknown,https://en.wikipedia.org/wiki/Narmala_Shewcharan,https://www.dloc.com/UF00080046/00033/images/290,-58.97538658,4.79642268
nponce,Néstor Ponce,Argentina,45,1955,0,1955-,https://fr.wikipedia.org/wiki/Ponce_N%C3%A9stor,,-65.07154211,-35.49575818
ndawes,Neville Dawes,Nigeria,31,1926,1984,1926 - 1984,https://en.wikipedia.org/wiki/Neville_Dawes,https://createcaribbean.org/vcl/ndawes_dloc/,8.106777828,9.593696882
ngiuseppi,Neville Giuseppi,Trinidad & Tobago,3,1909,1999,1909 - 1999,,https://createcaribbean.org/vcl/ngiuseppi_dloc/,-61.26048814,10.47267428
nlaughlin,Nicholas Laughlin,Trinidad & Tobago,3,1975,0,1975-,https://en.wikipedia.org/wiki/Nicholas_Laughlin,,-61.26048814,10.47267428
nyoon,Nicola Yoon,Jamaica,4,1972,0,1972-,https://en.wikipedia.org/wiki/Nicola_Yoon,,-77.31110641,18.15769529
ngullien,Nicolás Guillén,Cuba,14,1902,1989,1902 - 1989,https://en.wikipedia.org/wiki/Nicolás_Guillén,https://createcaribbean.org/vcl/ngullien_dloc/,-79.5,22
ndennisbenn,Nicole Deniss-Benn,Jamaica,4,1982,0,1982-,https://en.wikipedia.org/wiki/Nicole_Dennis-Benn,https://createcaribbean.org/vcl/ndennisbenn_dloc/,-77.31110641,18.15769529
nroberts,Nicole Roberts,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
necameron,Norman Eustace Cameron,Guyana,62,1903,1983,1903 - 1983,https://en.wikipedia.org/wiki/N._E._Cameron,https://www.dloc.com/UF00088915/00279/images/29,-58.97538658,4.79642268
ordathorne,O.R Dathorne,Guyana,62,1934,2007,1934 - 2007,https://en.wikipedia.org/wiki/Oscar_Dathorne,https://createcaribbean.org/vcl/ordathorne_dloc/,-58.97538658,4.79642268
olewin,Olive Lewin,Jamaica,4,1927,2013,1927 - 2013,https://en.wikipedia.org/wiki/Olive_Lewin,https://www.dloc.com/CA00199854/00001/images,-77.31110641,18.15769529
osenior,Olive Senior,Jamaica,4,1941,0,1941-,https://en.wikipedia.org/wiki/Olive_Senior,https://createcaribbean.org/vcl/osenior_dloc/,-77.31110641,18.15769529
okempadoo,Oonya Kempadoo,England,11,1966,0,1966-,https://en.wikipedia.org/wiki/Oonya_Kempadoo,https://createcaribbean.org/vcl/okempadoo_dloc/,-1.458627594,52.59273448
opalmeradisa,Opal Palmer Adisa,Jamaica,4,0,0,Unknown,,,-77.31110641,18.15769529
