authorid,author_name,resource_title,resource_month,resource_day,resource_year,resource_language,resource_sample_url,resource_full_url,resource_type,resource_source,tags,comments
awilentz,Amy Wilentz,Frè jen gason yo touye devan Stade Sylvio Cator; Amy Wilentz sou «The Rainy Season»,July,25,1989,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/52/82/00001/RL10059-RR-0597_01.mp3,https://www.dloc.com/AA00075282/00001/audios,audio,dLOC,,
awilentz,Amy Wilentz,The Journal of the Vodou Archive 2013,,,2012,English,https://ufdcimages.uflib.ufl.edu/AA/00/01/50/46/00002/00001.jpg,https://www.dloc.com/AA00015046/00002/images,image,dLOC,,
awilentz,Amy Wilentz,"Thirty Years After a Tree-Planting Project
A Political Ecology Perspective on Behavior and Land Changes in Rural Haiti",,,2010,English,https://ufdcimages.uflib.ufl.edu/UF/E0/04/16/53/00001/tarter_a_Page_048.jpg,https://www.dloc.com/UFE0041653/00001/images,image,dLOC,,
awilentz,Amy Wilentz,"Return to the darkest days : human rights in Haiti since the coup / Americas Watch, National Coalition for Haitian Refugees, Physicians for Human Rights",,,,English,https://ufdcimages.uflib.ufl.edu/AA/00/00/08/71/00001/00001.jpg,https://www.dloc.com/AA00000871/00001/images,image,dLOC,,
awilentz,Amy Wilentz,Caribbean beat,May,,2016,English,https://www.dloc.com/AA00090268/00029/pdf,https://www.dloc.com/AA00090268/00029/pdf,pdf,dLOC,,
awilentz,Amy Wilentz,Managing arms in peace processes,,,1996,English,https://ufdcimages.uflib.ufl.edu/AA/00/00/11/22/00001/00001.jpg,https://www.dloc.com/AA00001122/00001/images,image,dLOC,,
asegalas,Anaïs Ségalas,Récits des Antilles,,,1886,French,https://ufdcimages.uflib.ufl.edu/UF/00/09/85/58/00001/rcitsdesantill00sg_Page_001.jpg,https://www.dloc.com/UF00098558/00001/images,image,dLOC,,
alevy,Andrea Levy,MaComère,,,2006,English,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/79/00009/00000.jpg,https://www.dloc.com/AA00000079/00009/images,image,dLOC,,
asalkey,Andrew Salkey,Jamaica,,,,,https://www.dloc.com/AA00069323/00001/,https://www.dloc.com/AA00069323/00001/,image,dLOC,,Resource not found
asalkey,Andrew Salkey,Havana journal,,,1971,,https://ufdcimages.uflib.ufl.edu/AA/00/03/01/88/00001/F1765-2-S24_dj.jpg,https://www.dloc.com/AA00030188/00001/images,image,dLOC,,
